ID	r	p
su005	-0.3916092452979879	8.077390325469709e-275
su003	-0.14427252174680408	2.3769830396136258e-36
su012	-0.04474317184612429	0.0001018105609814789
su009	-0.03794583950398117	0.0009828881636350026
su001	-0.010747674853247829	0.35078639226210745
su006	0.03821182021989305	0.0009050383950489776
su010	0.07681676715091383	2.412936650494411e-11
su004	0.12299888632915698	8.323137993685192e-27
su002	0.15534817551237495	6.140801390657786e-42
su008	0.16114394041710725	4.934416287018804e-45
su007	0.30117987329801993	7.16484037901052e-158
